accessible , 1 , positive
accomplished , 1 , positive
achievements , 2 , positive
adore , 1 , positive
advanced , 1 , positive
advantage , 1 , positive
advocate , 1 , positive
advocated , 1 , positive
advocates , 1 , positive
affirmation , 1 , positive
afford , 1 , positive
affordable , 2 , positive
amazing , 8 , positive
amusing , 5 , positive
appeal , 1 , positive
appreciate , 5 , positive
appreciated , 1 , positive
approval , 1 , positive
aspirations , 1 , positive
assuring , 1 , positive
attraction , 2 , positive
autonomous , 1 , positive
available , 4 , positive
award , 1 , positive
awards , 4 , positive
awesome , 1 , positive
beautiful , 3 , positive
beneficiary , 1 , positive
benefit , 2 , positive
benefits , 100 , positive
best , 21 , positive
better , 14 , positive
brave , 1 , positive
bravo , 3 , positive
breakthrough , 27 , positive
breakthroughs , 1 , positive
breathtaking , 1 , positive
bright , 1 , positive
brilliant , 3 , positive
capable , 2 , positive
celebrated , 1 , positive
celebration , 1 , positive
cheer , 3 , positive
clarity , 1 , positive
classy , 1 , positive
clean , 1 , positive
clear , 6 , positive
coherence , 1 , positive
comfort , 1 , positive
comfy , 1 , positive
commitment , 4 , positive
compassion , 1 , positive
confidence , 1 , positive
congratulations , 3 , positive
consistently , 1 , positive
contribution , 1 , positive
cool , 1 , positive
correct , 2 , positive
cure , 50 , positive
decent , 1 , positive
decisive , 1 , positive
dedicated , 3 , positive
defeated , 1 , positive
defeating , 2 , positive
defeats , 8 , positive
distinguished , 1 , positive
dominate , 1 , positive
easy , 4 , positive
educated , 7 , positive
effective , 12 , positive
effectively , 7 , positive
efficiently , 1 , positive
eloquently , 1 , positive
encourage , 2 , positive
encouraging , 2 , positive
engaging , 1 , positive
enhance , 1 , positive
enhanced , 9 , positive
enjoy , 2 , positive
enjoyable , 1 , positive
enjoyed , 1 , positive
enough , 13 , positive
envious , 1 , positive
ethical , 1 , positive
excel , 2 , positive
excellent , 3 , positive
excited , 13 , positive
excitement , 1 , positive
exciting , 1 , positive
extraordinary , 1 , positive
fair , 6 , positive
faithful , 2 , positive
famous , 1 , positive
fancy , 1 , positive
fans , 1 , positive
fantastic , 4 , positive
fascinating , 1 , positive
fast , 6 , positive
faster , 2 , positive
favorable , 1 , positive
favorite , 3 , positive
fine , 2 , positive
fortunate , 2 , positive
free , 28 , positive
freedom , 3 , positive
freedoms , 1 , positive
ftw , 2 , positive
fun , 10 , positive
generosity , 1 , positive
glad , 12 , positive
golden , 1 , positive
